,h,class_weights,clean_data,sigma,C,mean_score
0,3,"{-1: 1, 1: 1}",True,3.0,0.2,0.9063710792343783
1,3,"{-1: 1, 1: 5}",True,3.0,0.2,0.9055402620937465
2,3,"{-1: 1, 1: 10}",True,3.0,0.2,0.9072627374999819
3,3,"{-1: 1, 1: 1}",True,3.0,0.5,0.9062474985544667
4,3,"{-1: 1, 1: 5}",True,3.0,0.5,0.9133873811849275
5,3,"{-1: 1, 1: 10}",True,3.0,0.5,0.9104284924272626
6,3,"{-1: 1, 1: 1}",True,3.0,1.0,0.9087808029010406
7,3,"{-1: 1, 1: 5}",True,3.0,1.0,0.9107374460829706
8,3,"{-1: 1, 1: 10}",True,3.0,1.0,0.9087901600649918
9,3,"{-1: 1, 1: 1}",True,3.0,2.0,0.9101557187409023
10,3,"{-1: 1, 1: 5}",True,3.0,2.0,0.9060480498567718
11,3,"{-1: 1, 1: 10}",True,3.0,2.0,0.9052334227704071
12,3,"{-1: 1, 1: 1}",True,4.0,0.2,0.9082902389944939
13,3,"{-1: 1, 1: 5}",True,4.0,0.2,0.9095160755933067
14,3,"{-1: 1, 1: 10}",True,4.0,0.2,0.9107554406826176
15,3,"{-1: 1, 1: 1}",True,4.0,0.5,0.9083896293349863
16,3,"{-1: 1, 1: 5}",True,4.0,0.5,0.9186137460260188
17,3,"{-1: 1, 1: 10}",True,4.0,0.5,0.9162446465743187
18,3,"{-1: 1, 1: 1}",True,4.0,1.0,0.9123973542703596
19,3,"{-1: 1, 1: 5}",True,4.0,1.0,0.9196477404007369
20,3,"{-1: 1, 1: 10}",True,4.0,1.0,0.9160516506736843
21,3,"{-1: 1, 1: 1}",True,4.0,2.0,0.915565428500642
22,3,"{-1: 1, 1: 5}",True,4.0,2.0,0.9169453930485356
23,3,"{-1: 1, 1: 10}",True,4.0,2.0,0.9151701531105015
24,3,"{-1: 1, 1: 1}",True,5.0,0.2,0.9067319967771179
25,3,"{-1: 1, 1: 5}",True,5.0,0.2,0.9083178014625445
26,3,"{-1: 1, 1: 10}",True,5.0,0.2,0.9105523965052847
27,3,"{-1: 1, 1: 1}",True,5.0,0.5,0.9078521142389125
28,3,"{-1: 1, 1: 5}",True,5.0,0.5,0.9184376077140772
29,3,"{-1: 1, 1: 10}",True,5.0,0.5,0.9171003215887957
30,3,"{-1: 1, 1: 1}",True,5.0,1.0,0.9109953562635681
31,3,"{-1: 1, 1: 5}",True,5.0,1.0,0.9213921659915272
32,3,"{-1: 1, 1: 10}",True,5.0,1.0,0.9178805439390524
33,3,"{-1: 1, 1: 1}",True,5.0,2.0,0.9163263165739098
34,3,"{-1: 1, 1: 5}",True,5.0,2.0,0.9191809979400564
35,3,"{-1: 1, 1: 10}",True,5.0,2.0,0.9159829085068582
36,3,"{-1: 1, 1: 1}",True,6.0,0.2,0.9052179209887713
37,3,"{-1: 1, 1: 5}",True,6.0,0.2,0.9055287938662394
38,3,"{-1: 1, 1: 10}",True,6.0,0.2,0.9090352593934498
39,3,"{-1: 1, 1: 1}",True,6.0,0.5,0.9057477738806671
40,3,"{-1: 1, 1: 5}",True,6.0,0.5,0.9155111059776818
41,3,"{-1: 1, 1: 10}",True,6.0,0.5,0.9154672020718246
42,3,"{-1: 1, 1: 1}",True,6.0,1.0,0.9092856302986624
43,3,"{-1: 1, 1: 5}",True,6.0,1.0,0.9206814066080938
44,3,"{-1: 1, 1: 10}",True,6.0,1.0,0.9174026904624313
45,3,"{-1: 1, 1: 1}",True,6.0,2.0,0.91361548542021
46,3,"{-1: 1, 1: 5}",True,6.0,2.0,0.9210727091046955
47,3,"{-1: 1, 1: 10}",True,6.0,2.0,0.9170336883420417
48,3,"{-1: 1, 1: 1}",True,7.0,0.2,0.9036093014374464
49,3,"{-1: 1, 1: 5}",True,7.0,0.2,0.9019323023967454
50,3,"{-1: 1, 1: 10}",True,7.0,0.2,0.9062613838278345
51,3,"{-1: 1, 1: 1}",True,7.0,0.5,0.9036051756599294
52,3,"{-1: 1, 1: 5}",True,7.0,0.5,0.9132987804985747
53,3,"{-1: 1, 1: 10}",True,7.0,0.5,0.9137302678495575
54,3,"{-1: 1, 1: 1}",True,7.0,1.0,0.907008667263344
55,3,"{-1: 1, 1: 5}",True,7.0,1.0,0.9183275673674114
56,3,"{-1: 1, 1: 10}",True,7.0,1.0,0.9158135817039824
57,3,"{-1: 1, 1: 1}",True,7.0,2.0,0.9108914947231525
58,3,"{-1: 1, 1: 5}",True,7.0,2.0,0.9206630724270339
59,3,"{-1: 1, 1: 10}",True,7.0,2.0,0.9160933688691643
